question,correct_answer,llama_distractor1,llama_distractor2,llama_distractor3,original_distractor1,original_distractor2,original_distractor3
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",oxidants,accepting agents,electron acceptors,reducing agents,antioxidants,Oxygen,residues
What term in biotechnology means a genetically exact copy of an organism?,clone,gene,transgenic animal copy,enzyme,adult,male,phenotype
Vertebrata are characterized by the presence of what?,backbone,fins,gills,scales,Bones,Muscles,Thumbs
What is the height above or below sea level called?,elevation,depth,altitude,latitude,depth,latitude,variation
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",tree rings,ice cores,varves,tree rings,mountain ranges,fossils,magma
What chemical signals in plants control different processes?,plant hormones,are light,water,nutrients,produce hormones,nitrogen hormones,Human Hormones
"Meiosis is part of the process of gametogenesis, which is the production of what?",sperm and eggs,criminal cells,embryonic cells,hormone cells,chromosomes,egg only,sperm only
Which type of tree is dominant in temperate forests?,deciduous,evergreen,coniferous,broadleaf,vines,fungus,shrubs
What kind of viscosity is found in long-chain hydrocarbons?,highly viscous,low viscosity,medium viscosity,highly diluted,increased viscosity,low viscosity,intense viscosity
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,regular array,bonding,crystal structure,arrangement of ions,incorrect array,normal array,occasional array
About how tall can mid-ocean ridges be?,about 2 km,about 5 km,about 10 km,about 15 km,about 2 meters,about 2 feet,2 inches
What are by far the most common type of invertebrate?,insects,fish,reptiles,amphibians,spiders,crustaceans,corals
What do waves deposit to form sandbars and barrier islands?,sediments,rocks,water,salt,magma,organisms,glaciers
"Penis, testes, and epididymis are organs in what system?",male reproductive system,digestive system,circulatory system,respiratory system,virus reproductive system​,plant reproductive system​,female reproductive system​
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",photosynthesis,breathing,eating,hunting,flowering,rooting,growth
How does a neon light produce visible light?,electroluminescence,nuclear reaction,chemiluminescence,radioluminescence,luminescence,radiation,mitosis
The bird ancestor that lived in trees developed what feature commonly associated with birds?,wings,wings,nests,tails are not the correct answers,tails,webbed feet,beaks
What do most living things use to make atp from glucose?,oxygen,when oxygen is present,the electron transport chain,nitrogen gas,enzymes,carbon,nitrogen
What are the two most common silicates?,feldspar and quartz,mica,beryl,pyramids,Olivine and quartz,Micas	 and feldspar,Micas	 and quartz
What term means the amount of water vapor in the air?,humidity,dampness,moisture,dew point,temperature,pressure,ambient
Paracrine signals move by what method through the extracellular matrix?,diffusion,active transport,filtration,electrical conduction,osmosis,deposition,transfusion
"Presence of a cell wall, large central vacuole, and organelles called plastids distinguish what type of cell?",plant,animal,bacteria,fungi,animal,reproductive,heterotroph
What happens when mammals raise their hair with tiny muscles in the skin?,goosebumps,chills,shivering,hiccups,bleeding,balding,bruising
What are people with osteoporosis at increased risk of?,bone fractures,plant fractures, increased risk of soil growth,fungal infections,epilepsy,senility,growth spurt
Where is energy stored in a chemical substance?,between atoms,inside the atoms,in the space around the atoms,within the nucleus,on the surface,in molecules,inside atoms
