question,option,is_correct,source
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",oxidants,True,correct_answer
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",accepting agents,False,llama_distractor1
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",electron acceptors,False,llama_distractor2
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",reducing agents,False,llama_distractor3
What term in biotechnology means a genetically exact copy of an organism?,clone,True,correct_answer
What term in biotechnology means a genetically exact copy of an organism?,gene,False,llama_distractor1
What term in biotechnology means a genetically exact copy of an organism?,transgenic animal copy,False,llama_distractor2
What term in biotechnology means a genetically exact copy of an organism?,enzyme,False,llama_distractor3
Vertebrata are characterized by the presence of what?,backbone,True,correct_answer
Vertebrata are characterized by the presence of what?,fins,False,llama_distractor1
Vertebrata are characterized by the presence of what?,gills,False,llama_distractor2
Vertebrata are characterized by the presence of what?,scales,False,llama_distractor3
What is the height above or below sea level called?,elevation,True,correct_answer
What is the height above or below sea level called?,depth,False,llama_distractor1
What is the height above or below sea level called?,altitude,False,llama_distractor2
What is the height above or below sea level called?,latitude,False,llama_distractor3
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",tree rings,True,correct_answer
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",ice cores,False,llama_distractor1
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",varves,False,llama_distractor2
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",tree rings,False,llama_distractor3
What chemical signals in plants control different processes?,plant hormones,True,correct_answer
What chemical signals in plants control different processes?,are light,False,llama_distractor1
What chemical signals in plants control different processes?,water,False,llama_distractor2
What chemical signals in plants control different processes?,nutrients,False,llama_distractor3
"Meiosis is part of the process of gametogenesis, which is the production of what?",sperm and eggs,True,correct_answer
"Meiosis is part of the process of gametogenesis, which is the production of what?",criminal cells,False,llama_distractor1
"Meiosis is part of the process of gametogenesis, which is the production of what?",embryonic cells,False,llama_distractor2
"Meiosis is part of the process of gametogenesis, which is the production of what?",hormone cells,False,llama_distractor3
Which type of tree is dominant in temperate forests?,deciduous,True,correct_answer
Which type of tree is dominant in temperate forests?,evergreen,False,llama_distractor1
Which type of tree is dominant in temperate forests?,coniferous,False,llama_distractor2
Which type of tree is dominant in temperate forests?,broadleaf,False,llama_distractor3
What kind of viscosity is found in long-chain hydrocarbons?,highly viscous,True,correct_answer
