question,option,is_correct,source
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",oxidants,True,correct_answer
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",antioxidants,False,original_distractor1
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",Oxygen,False,original_distractor2
"Compounds that are capable of accepting electrons, such as o 2 or f2, are called what?",residues,False,original_distractor3
What term in biotechnology means a genetically exact copy of an organism?,clone,True,correct_answer
What term in biotechnology means a genetically exact copy of an organism?,adult,False,original_distractor1
What term in biotechnology means a genetically exact copy of an organism?,male,False,original_distractor2
What term in biotechnology means a genetically exact copy of an organism?,phenotype,False,original_distractor3
Vertebrata are characterized by the presence of what?,backbone,True,correct_answer
Vertebrata are characterized by the presence of what?,Bones,False,original_distractor1
Vertebrata are characterized by the presence of what?,Muscles,False,original_distractor2
Vertebrata are characterized by the presence of what?,Thumbs,False,original_distractor3
What is the height above or below sea level called?,elevation,True,correct_answer
What is the height above or below sea level called?,depth,False,original_distractor1
What is the height above or below sea level called?,latitude,False,original_distractor2
What is the height above or below sea level called?,variation,False,original_distractor3
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",tree rings,True,correct_answer
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",mountain ranges,False,original_distractor1
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",fossils,False,original_distractor2
"Ice cores, varves and what else indicate the environmental conditions at the time of their creation?",magma,False,original_distractor3
What chemical signals in plants control different processes?,plant hormones,True,correct_answer
What chemical signals in plants control different processes?,produce hormones,False,original_distractor1
What chemical signals in plants control different processes?,nitrogen hormones,False,original_distractor2
What chemical signals in plants control different processes?,Human Hormones,False,original_distractor3
"Meiosis is part of the process of gametogenesis, which is the production of what?",sperm and eggs,True,correct_answer
"Meiosis is part of the process of gametogenesis, which is the production of what?",chromosomes,False,original_distractor1
"Meiosis is part of the process of gametogenesis, which is the production of what?",egg only,False,original_distractor2
"Meiosis is part of the process of gametogenesis, which is the production of what?",sperm only,False,original_distractor3
Which type of tree is dominant in temperate forests?,deciduous,True,correct_answer
Which type of tree is dominant in temperate forests?,vines,False,original_distractor1
Which type of tree is dominant in temperate forests?,fungus,False,original_distractor2
Which type of tree is dominant in temperate forests?,shrubs,False,original_distractor3
What kind of viscosity is found in long-chain hydrocarbons?,highly viscous,True,correct_answer
What kind of viscosity is found in long-chain hydrocarbons?,increased viscosity,False,original_distractor1
What kind of viscosity is found in long-chain hydrocarbons?,low viscosity,False,original_distractor2
What kind of viscosity is found in long-chain hydrocarbons?,intense viscosity,False,original_distractor3
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,regular array,True,correct_answer
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,incorrect array,False,original_distractor1
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,normal array,False,original_distractor2
Ionic compounds have strong electrostatic attractions between oppositely charged ions in this?,occasional array,False,original_distractor3
About how tall can mid-ocean ridges be?,about 2 km,True,correct_answer
About how tall can mid-ocean ridges be?,about 2 meters,False,original_distractor1
About how tall can mid-ocean ridges be?,about 2 feet,False,original_distractor2
About how tall can mid-ocean ridges be?,2 inches,False,original_distractor3
What are by far the most common type of invertebrate?,insects,True,correct_answer
What are by far the most common type of invertebrate?,spiders,False,original_distractor1
What are by far the most common type of invertebrate?,crustaceans,False,original_distractor2
What are by far the most common type of invertebrate?,corals,False,original_distractor3
What do waves deposit to form sandbars and barrier islands?,sediments,True,correct_answer
What do waves deposit to form sandbars and barrier islands?,magma,False,original_distractor1
What do waves deposit to form sandbars and barrier islands?,organisms,False,original_distractor2
What do waves deposit to form sandbars and barrier islands?,glaciers,False,original_distractor3
"Penis, testes, and epididymis are organs in what system?",male reproductive system,True,correct_answer
"Penis, testes, and epididymis are organs in what system?",virus reproductive system​,False,original_distractor1
"Penis, testes, and epididymis are organs in what system?",plant reproductive system​,False,original_distractor2
"Penis, testes, and epididymis are organs in what system?",female reproductive system​,False,original_distractor3
"Only about one percent of plants have lost what ability, turning them into consumers and even predators, instead of producers?",photosynthesis,True,correct_answer
